frame,time,left_density,right_density,total_density
1112,44.48,6,10,16
1113,44.52,6,11,17
1114,44.56,6,11,17
1115,44.6,6,10,16
1116,44.64,6,10,16
1117,44.68,6,10,16
1118,44.72,6,10,16
1119,44.76,6,10,16
1120,44.8,6,10,16
1121,44.84,6,11,17
1122,44.88,6,11,17
1123,44.92,6,12,18
1124,44.96,6,11,17
1125,45.0,6,12,18
1126,45.04,6,12,18
1127,45.08,6,12,18
1128,45.12,6,11,17
1129,45.16,6,11,17
1130,45.2,6,12,18
1131,45.24,7,12,19
1132,45.28,7,12,19
1133,45.32,7,12,19
1134,45.36,7,12,19
1135,45.4,7,12,19
1136,45.44,8,11,19
1137,45.48,8,11,19
1138,45.52,7,11,18
1139,45.56,7,11,18
1140,45.6,7,11,18
1141,45.64,7,12,19
1142,45.68,8,12,20
1143,45.72,8,12,20
1144,45.76,8,12,20
